date,min_temp,max_temp,mean_temp,count
2010-03-10,11.0,13.2,12.166666666666666,6
2010-03-11,7.7,11.4,9.762500000000001,24
2010-03-12,5.7,16.2,11.133333333333333,24
2010-03-13,6.2,19.0,12.779166666666667,24
2010-03-14,10.0,22.7,15.799999999999999,24
2010-03-15,11.3,25.9,17.345833333333335,24
2010-03-16,10.7,29.9,18.720833333333335,24
2010-03-17,10.4,28.1,18.720833333333335,24
2010-03-18,10.6,28.1,17.758333333333333,24
2010-03-19,11.2,16.8,14.095833333333333,24
2010-03-20,12.8,20.7,15.950000000000001,24
2010-03-21,14.1,21.4,17.1125,24
2010-03-22,14.3,21.7,17.120833333333334,24
2010-03-23,8.4,15.2,11.9,24
2010-03-24,9.9,16.4,11.745833333333332,24
2010-03-25,7.6,18.1,11.487499999999999,24
2010-03-26,8.0,20.0,11.754166666666668,24
2010-03-27,6.1,18.7,12.333333333333334,24
2010-03-28,7.5,21.4,13.454166666666666,24
2010-03-29,7.7,19.1,13.383333333333333,24
2010-03-30,10.9,21.9,15.391666666666666,24
2010-03-31,10.1,16.3,13.620833333333332,24
2010-04-01,9.4,24.5,16.483333333333334,24
2010-04-02,10.8,27.6,17.837500000000002,24
2010-04-03,13.3,25.5,18.900000000000002,24
2010-04-04,13.3,26.1,18.974999999999998,24
2010-04-05,12.6,22.6,16.670833333333334,24
2010-04-06,13.6,20.2,16.620833333333334,24
2010-04-07,9.3,19.2,14.283333333333333,24
2010-04-08,7.4,25.4,14.695833333333333,24
2010-04-09,11.2,25.9,23.599999999999998,24
2010-04-10,9.6,21.7,14.924999999999999,24
2010-04-11,7.1,22.1,14.779166666666667,24
2010-04-12,9.3,14.9,12.195833333333333,24
2010-04-13,9.3,16.8,13.129166666666668,24
2010-04-14,9.9,22.6,15.424999999999999,24
2010-04-15,9.4,20.4,14.795833333333334,24
2010-04-16,11.7,18.2,13.929166666666667,24
2010-04-17,11.9,20.1,15.595833333333333,24
2010-04-18,13.3,18.2,15.391666666666666,24
2010-04-19,9.5,20.1,13.408333333333333,24
2010-04-20,8.9,26.9,16.150000000000002,24
2010-04-21,10.2,27.8,18.966666666666665,24
2010-04-22,12.6,32.9,21.216666666666665,24
2010-04-23,13.4,29.9,21.104166666666668,24
2010-04-24,11.4,28.6,20.1375,24
2010-04-25,11.5,20.8,15.545833333333334,24
2010-04-26,13.5,20.5,16.525000000000002,24
2010-04-27,14.5,29.6,20.816666666666666,24
2010-04-28,14.3,29.8,21.029166666666665,24
2010-04-29,12.0,26.4,18.962500000000002,24
2010-04-30,14.6,22.5,17.920833333333334,24
2010-05-01,14.8,27.4,19.816666666666666,24
2010-05-02,13.5,25.5,19.575,24
2010-05-03,15.2,31.5,21.129166666666666,24
2010-05-04,14.7,21.1,17.908333333333335,24
